Sub-region,Management Area,Stream_Number,StreamName,STAT_AREA_NAME,AWC_CODE,LATITUDE,LONGITUDE,Watershed_ID,Watershed_km2,mean_flow,CV_flow,Stream_spans_2_WSheds,Scenario_A,Scenario_B,Notes,Triple-checked
SSE,Petersburg,105-42-011,El Capitan-Aneskett,Shakan Bay/Calder Bay/El Capitan Pass,105-42-10110,56.15282637,-133.2740063,6281,103,7.32,0.49,,,X,Same WShed as El Capitan Creek and El Capitan Dry Pass,X
NSE Inside,Petersburg,109-62-012,Elena Bay Head,Tebenkof Bay,109-62-10120,56.55179317,-134.0815839,7662,32,2.62,0.51,,X,,Same WShed as Elena Bay NW Head,X
NSE Inside,Petersburg,109-62-011,Elena Bay NW Head,Tebenkof Bay,109-62-10110,56.54730062,-134.0898432,7662,32,2.62,0.51,,,X,Same WShed as Elena Bay Head,X
NSE Inside,Petersburg,109-62-010,Elena Bay NW Side,Tebenkof Bay,109-62-10100,56.53873506,-134.1040622,"7623, 7580",14,0.91,0.54,X,,X,Same WShed as 4th NE of Gap Pt (7580),X
NSE Inside,Petersburg,109-30-003,Eliza Creek,Eliza Harbor/Herring Bay/Tyee,109-30-10030,57.25648595,-134.2961503,9394,76,5.46,0.47,,,X,Same WShed as Eliza Harbor Head West,X
NSE Inside,Petersburg,109-30-004,Eliza Harbor Head West,Eliza Harbor/Herring Bay/Tyee,109-30-10040,57.25296402,-134.2998375,9394,76,5.46,0.47,,,X,Same WShed as Eliza Creek,X
NSE Inside,Petersburg,109-30-005,Eliza Harbor West Side,Eliza Harbor/Herring Bay/Tyee,109-30-10050,57.21193767,-134.311578,9379,29,1.68,0.48,,X,,Same 2nd WShed as Eliza Lake Creek,X
NSE Inside,Petersburg,109-30-006,Eliza Lake Creek,Eliza Harbor/Herring Bay/Tyee,109-30-10060,57.19768033,-134.305045,"9347, 9379",34,1.91,0.51,X,,X,Same WShed as Eliza Harbor West Side (9379),X
SSE,Petersburg,107-10-010,Emerald Creek,Union Bay/Emerald Bay/S Ernest Sound,107-10-10100,55.88569021,-132.040209,"6398, 6347",18,1.39,0.58,X,,X,,X
NSE Inside,Juneau,115-10-080,Endicott River,Central Lynn Canal,115-10-10800,58.78227208,-135.2531394,"13377, 13447",279,22.61,0.65,X,X,,,X
SSE,Ketchikan,101-75-015,Eulachon River,Back Behm Canal,101-75-10150,56.05640471,-131.1262379,NA,NA,NA,NA,NA,NA,NA,,X
SSE,Petersburg,106-30-085,Exchange Cove Creek,Steamer Bay/Kindergarten/Quiet Harbor,106-30-10850,56.18996988,-133.0749295,6805,24,1.6,0.55,,,X,,X
NSE Inside,Juneau,114-80-020,Excursion River,Excursion Inlet,114-80-10200,58.51427506,-135.5226604,12441,263,27.94,0.59,,X,,,X
SSE,Ketchikan,101-90-076,Falls Creek,Higgins Pt to Nose Pt/Naha/Traitors,101-90-10760,55.59692867,-131.9771346,5257,52,4.18,0.52,,,X,Same WShed as Smugglers Creek,X
NSE Inside,Petersburg,110-21-004,False Point Pybus Creek,False Point Pybus/Brothers Island,110-21-10040,57.34922776,-133.9047578,9869,18,0.76,0.59,,X,,,X
SSE,Ketchikan,103-40-084,Farallon Bay W Head,Tlevak Strait,103-40-10840,55.19017964,-133.1093677,2787,7,0.2,0.5,,X,,,X
NSE Inside,Petersburg,110-14-005,Farragut Bay N Arm,Farragut Bay,110-14-10050,57.18242847,-133.2546295,9687,51,2.39,0.58,,X,,,X
NSE Inside,Petersburg,110-14-007,Farragut River,Farragut Bay,110-14-10070,57.15803981,-133.1552315,9718,421,39.27,0.56,,X,,,X
NSE Inside,Juneau,112-67-080,Favorite Creek,Kootznahoo Inlet,112-67-10800,57.46071283,-134.5023889,9943,71,4.78,0.49,,X,,,X
NSE Inside,Sitka,113-57-001,Fick Cove Head,South Arm Hoonah Sound,113-57-10010,57.62875989,-135.683543,"9842, 9880",41,3.13,0.51,X,,X,Same 2nd WShed as Hoonah Sound S Arm SW (9880),X
SSE,Ketchikan,101-11-079,Fillmore Creek,Revilla Channel to Pearse Canal,101-11-10790,54.94537322,-130.4737136,3305,147,11.43,0.47,,,X,Same WShed as Fillmore Inlet NW Hd,X
SSE,Ketchikan,101-11-078,Fillmore Inlet NW Hd,Revilla Channel to Pearse Canal,101-11-10780,54.91887415,-130.4759041,3305,147,11.43,0.47,,,X,Same WShed as Fillmore Creek,X
NSE Inside,Sitka,113-55-001,Finger River,Hoonah Sound,113-55-10010,57.65145054,-135.5246028,"9940, 9922",27,2.56,0.49,X,X,,,X
NSE Outside,Sitka,113-65-004,Fish Bay Creek,Fish Bay,113-65-10040,57.35729656,-135.4834374,9277,147,13.46,0.45,,,X,Same WShed as Fish Bay S Side Head,X
NSE Outside,Sitka,113-65-005,Fish Bay S Side Head,Fish Bay,113-65-10050,57.35310622,-135.4959135,9277,147,13.46,0.45,,,X,Same WShed as Fish Bay Creek,X
NSE Inside,Juneau,111-50-069,Fish Creek,Auke Bay,111-50-10690,58.332728,-134.601756,"12335, 12370",36,2.91,0.64,X,X,,,X
SSE,Ketchikan,101-15-085,Fish Creek-Portland Canal,Portland Canal,101-15-10500-2028,55.93555454,-130.042258,NA,NA,NA,NA,NA,NA,NA,,X
SSE,Ketchikan,101-43-033,Fish Creek-Thorne Arm,Thorne Arm,101-43-10330,55.39126987,-131.1968475,5037,45,3.11,0.55,,X,,Same WShed as Pop Creek,X
SSE,Petersburg,107-20-023,Fisherman Chuck,Anan/Fools/Menefee/Deer Is/N Ernest Sd,107-20-10230,56.050162,-132.218515,7003,6,0.31,0.53,,X,,,X
NSE Inside,Juneau,112-17-030,Fishery Creek,Angoon to Hepburn,112-17-10300,57.76554965,-134.7151522,10447,151,12.69,0.53,,X,,,X
SSE,Petersburg,108-60-006,Fivemile Creek Sukoi Island,Pt Frederick/Pt Agassiz,108-60-10060,56.88356332,-132.9647222,9189,16,1.11,0.57,,X,,,X
SSE,Ketchikan,103-40-030,Flat Creek - Natzuhini,Tlevak Strait,103-40-10300,55.27089646,-132.8665418,3291,21,1.39,0.53,,X,,,X
SSE,Petersburg,106-22-006,Flat Creek-Mosman Inlet,"Burnett,Mosman,McHenry Inlet",106-22-10060,56.1603066,-132.5906586,7424,162,13,0.49,,,X,"Same WShed as Anita Bay Head W, Brad Creek NW Anita Bay, Mosman Creek E Head, Mosman Inlet NW Head, and Mosman Inlet SE Head",X
SSE,Petersburg,107-20-071,Fools Inlet Head E,Anan/Fools/Menefee/Deer Is/N Ernest Sd,107-20-10710,56.23406123,-132.0596786,7848,70,4.74,0.57,,,X,Same WShed as Fools Inlet Head W,X
SSE,Petersburg,107-20-070,Fools Inlet Head W,Anan/Fools/Menefee/Deer Is/N Ernest Sd,107-20-10700,56.23373907,-132.0617681,7848,70,4.74,0.57,,,X,Same WShed as Fools Inlet Head E,X
NSE Outside,Sitka,113-73-003,Ford Arm Creek,Slocum Arm,113-73-10030,57.58191834,-135.9152674,"9644, 9597",62,4.38,0.47,X,X,,Same WShed as South Ford Arm (9597),X
NSE Inside,Juneau,111-41-018,Fowler Creek-Young Bay,Youngs Bay,111-41-10180,58.16276677,-134.692287,"11723, 11722",83,6.55,0.56,X,,X,"Same WShed as Hawk Inlet Head (11722), Hawk Inlet Head NW (11722), and Jimmy Green Creek (11722)",X
SSE,Petersburg,107-40-040,Franks Creek-Bradfield Canal,Blake Channel,107-40-10400,56.21843965,-131.7266976,8002,12,0.88,0.61,,X,,,X
SSE,Ketchikan,102-30-051,Frederick Creek,Moira Sound,102-30-10510,54.99542092,-132.285189,2735,23,1.93,0.51,,,X,,X
NSE Inside,Juneau,112-50-030,Freshwater Creek,Freshwater Bay,112-50-10300,57.94332536,-135.2097,"10682, 10710",124,1.53,0.56,X,X,,Same 2nd WShed as Bay Head Creek (10710),X
NSE Inside,Juneau,112-63-012,Funter Bay S Side,Funter Bay,112-63-10120,58.23914544,-134.8938801,11855,9,0.73,0.58,,,X,Same WShed as Funter Creek,X
NSE Inside,Juneau,112-63-013,Funter Creek,Funter Bay,112-63-10130,58.23688581,-134.8962208,11855,9,0.73,0.58,,,X,Same WShed as Funter Bay S Side,X
SSE,Petersburg,105-20-010,Gail Creek S Arm SE Hd,Port Beauclerc,105-20-10100,56.25145697,-133.9761315,6515,19,1.24,0.53,,,X,Same WShed as P Beauclerc S Arm Hd,X
NSE Inside,Petersburg,110-23-005,Gambier Bay N Arm West,Gambier Bay,110-23-10050,57.51996392,-133.9608784,10219,19,0.81,0.53,,,X,Same WShed as Last Chance Creek-Gambier Bay,X
NSE Inside,Juneau,114-31-013,Game Creek,Hoonah Area,114-31-10130,58.09042416,-135.4709212,"11011, 10772",154,15.63,0.55,X,,X,Same WShed as Seagull Creek (10772),X
NSE Inside,Petersburg,109-62-038,Gedney Harbor S Head,Tebenkof Bay,109-62-10380,56.35894502,-134.2326525,6730,13,0.53,0.49,,,X,Same WShed as Neal Creek,X
NSE Inside,Juneau,111-35-032,Gilbert Creek,Gilbert Bay,111-35-10320,57.93134547,-133.6825823,11488,40,0.23,0.63,,,X,,X
NSE Inside,Petersburg,110-34-006,Glen Creek,Port Houghton,110-34-10060,57.31786558,-133.0979205,10096,309,23.03,0.57,,,X,Same WShed as Rusty River,X
NSE Inside,Petersburg,110-32-002,Goat Creek-Windham Bay,Windham Bay,110-32-10020,57.57712811,-133.5162821,10473,22,0.8,0.52,,X,,,X
NSE Inside,Petersburg,109-63-002,Gods Pocket North,Port Malmsbury,109-63-10020,56.31254292,-134.2395346,6558,6,0.36,0.55,,,X,Same WShed as 2nd W Joyce Creek and Tavin Creek,X
NSE Inside,Petersburg,109-63-001,Gods Pocket West,Port Malmsbury,109-63-10010,56.30660974,-134.2468319,6510,7,0.31,0.54,,,X,,X
SSE,Ketchikan,103-70-008,Goodrow Creek,11-Mile,103-70-10080,55.60758089,-133.3458353,4180,16,0.91,0.55,,,X,Same WShed as James Creek,X
SSE,Ketchikan,102-60-030,Goose Bay Creek,Kasaan Bay,102-60-10300,55.37766763,-132.4652638,4147,192,16.94,0.46,,,X,"Same WShed as 142F Creek, Cabin Creek-Polk Inlet, Dog Salmon Creek-Kasaan Bay, and Rock Creek",X
NSE Inside,Juneau,114-23-080,Goose Creek,Point Adolphus Area,114-23-10800,58.20132178,-136.0428047,11145,50,4.61,0.51,,X,,,X
NSE Inside,Petersburg,109-62-018,Goose Trap Creek,Tebenkof Bay,109-62-10180,56.42172163,-134.039536,7064,18,1.25,0.55,,X,,Same 2nd WShed as W of Long Island,X
NSE Outside,Sitka,113-81-003,Goulding Harbor Head,Portlock Harbor,113-81-10030,57.79712615,-136.2260168,9956,77,6.67,0.45,,X,,,X
SSE,Ketchikan,101-71-050,Grace Creek,Walker Cove/Chichamin,101-71-10500,55.66093904,-130.9646531,"6358, 6404",94,8.29,0.58,X,X,,,X
SSE,Ketchikan,103-30-040,Grace Harbor Creek,Kaigani Strait,103-30-10400,54.90947249,-132.9317223,2127,25,1,0.53,,X,,Same WShed as Vesta Bay,X
SSE,Ketchikan,101-90-086,Granite Creek,Higgins Pt to Nose Pt/Naha/Traitors,101-90-10859,55.64550537,-131.8656206,5503,7,0.51,0.59,,,X,,X
NSE Inside,Sitka,113-58-003,Granite Creek N Arm,North Arm Hoonah Sound,113-58-10400,57.75934717,-135.8442103,10015,134,12.23,0.45,,,X,Same WShed as Hoonah Sound N Head and Hoonah Sound N Arm West,X
SSE,Ketchikan,101-75-010,Grant Creek-Behm Canal,Back Behm Canal,101-75-10100,56.03852209,-131.2144058,7637,190,18.24,0.61,,X,,,X
SSE,Ketchikan,101-29-011,Grant Creek-Gravina,Gravina Shore,101-29-10110,55.35065536,-131.853009,4404,21,1.44,0.56,,,X,Same WShed as Vallenar Creek,X
NSE Inside,Juneau,112-65-024,Greens Creek,Hawk Inlet,112-65-10240,58.099966,-134.76091,"11453, 11382",67,5.78,0.58,X,X,,Same 2nd WShed as Piledriver Cove Creek (11382),X
NSE Inside,Sitka,109-20-007,Gut Bay Head,Red Bluff Area,109-20-10070,56.70238835,-134.7524926,8054,78,7.3,0.44,,,X,,X
SSE,Ketchikan,103-90-027,Gutchie Creek,Sea Otter Sound,103-90-10270,55.8805197,-133.1336714,5467,134,9,0.52,,,X,Same WShed as Naukati Creek and Yatuk Creek,X
NSE Inside,Juneau,112-12-046,Gypsum Creek,W Chatham Peril to Wukuktook,112-12-10460,57.89632814,-134.980803,10685,12,0.89,0.55,,X,,,X
SSE,Ketchikan,103-30-035,Ham Cove Creek,Kaigani Strait,103-30-10350,54.8734483,-132.861189,2090,15,0.79,0.53,,X,,,X
NSE Inside,Petersburg,109-42-010,Hamilton River,Kake/Kadake Bay/Keku Strait,109-42-10100,56.89386321,-133.743278,NA,NA,NA,NA,NA,NA,NA,"Drains through 4 different WSheds, too difficult to accurately assign",X
SSE,Ketchikan,103-90-061,Hamlin Creek,Sea Otter Sound,103-90-10610,55.96905766,-133.5955162,"5458, 5426",15,0.81,0.57,X,X,,,X
NSE Inside,Sitka,113-52-004,Hanus Bay,Hanus Bay,113-52-10040,57.40906983,-135.0695153,"9550, 9549",68,6.75,0.51,X,X,,,X
SSE,Petersburg,107-40-049,Harding River,Blake Channel,107-40-10490,56.20498484,-131.6206058,"8069, 8037",260,22.74,0.6,X,,X,Same WShed as Tom Lake Creek (8069),X
NSE Inside,Petersburg,110-34-01A,Harmony Creek,Port Houghton,110-34-10012,57.338407,-133.381753,10003,8,0.38,0.58,,,X,Same WShed as Port Houghton N Side,X
SSE,Ketchikan,102-60-082,Harris River,Kasaan Bay,102-60-10820,55.459622,-132.68952,4145,224,19.67,0.48,,,X,Same WShed as Twelvemile Creek,X
SSE,Ketchikan,101-11-014,Harry Bay,Revilla Channel to Pearse Canal,101-11-10140,54.8442,-130.8038,3235,36,2.48,0.57,,X,,,X
NSE Inside,Juneau,112-67-035,Hasselborg Creek,Kootznahoo Inlet,112-67-10350,57.57093092,-134.3633543,10044,556,36.5,0.49,,,X,Same WShed as Jims Creek,X
SSE,Petersburg,106-30-051,Hatchery Creek,Steamer Bay/Kindergarten/Quiet Harbor,106-30-10670-2004-3031,55.94061023,-132.9734741,NA,NA,NA,NA,NA,NA,NA,"Drains to a lake, not the estuary",X
NSE Inside,Juneau,112-65-015,Hawk Inlet Head,Hawk Inlet,112-65-10150,58.18900161,-134.7405979,11722,75,5.94,0.55,,,X,"Same WShed as Fowler Creek-Young Bay, Hawk Inlet Head NW, and Jimmy Green Creek",X
NSE Inside,Juneau,112-65-014,Hawk Inlet Head NW,Hawk Inlet,112-65-10140,58.17970672,-134.7436826,11722,75,5.94,0.55,,,X,"Same Wshed as Fowler Creek-Young Bay, Hawk Inlet Head, and Jimmy Green Creek",X
SSE,Ketchikan,101-90-096,Heckman Creek,Higgins Pt to Nose Pt/Naha/Traitors,101-90-10960,55.75103252,-131.8050461,5958,8,0.63,0.56,,X,,,X
SSE,Ketchikan,101-90-097,Heckman Point North,Higgins Pt to Nose Pt/Naha/Traitors,101-90-10970,55.76873837,-131.7981327,"6087, 6005",10,0.78,0.58,X,X,,,X
SSE,Ketchikan,101-90-080,Helm Bay Head,Higgins Pt to Nose Pt/Naha/Traitors,101-90-10800,55.68246086,-132.0428899,5435,65,3.33,0.51,,,X,,X
SSE,Ketchikan,101-90-084,Helm Lake Creek,Higgins Pt to Nose Pt/Naha/Traitors,101-90-10840,55.65149472,-131.972674,5402,5,0.25,0.55,,X,,,X
SSE,Ketchikan,101-75-005,Herman Creek-Behm Canal,Back Behm Canal,101-75-10050,55.99652462,-131.2990399,7431,20,1.58,0.57,,X,,,X
NSE Inside,Petersburg,109-30-010,Herring Bay East,Eliza Harbor/Herring Bay/Tyee,109-30-10100,57.13137158,-134.3719425,9183,14,1,0.54,,,X,Same 2nd WShed as Herring Bay Middle,X
NSE Inside,Petersburg,109-30-011,Herring Bay Middle,Eliza Harbor/Herring Bay/Tyee,109-30-10110,57.13256684,-134.3890246,"9183, 9165",41,2.35,0.54,X,,X,Same WShed as Bergmann Creek (9165) and Herring Bay East (9183),X
SSE,Ketchikan,101-45-007,Herring Cove,Mountain Point to Carroll Point,101-45-10070,55.32629977,-131.5245044,4493,24,2.03,0.48,,X,,,X
SSE,Ketchikan,103-25-047,Hetta Creek,Hetta Inlet/Sukkwan Strait,103-25-10470,55.17164093,-132.5796385,3116,27,2.16,0.51,,X,,,X
SSE,Ketchikan,101-11-101,Hidden Inlet,Revilla Channel to Pearse Canal,101-11-11010,55.02065867,-130.3191298,NA,NA,NA,NA,NA,NA,NA,,X
NSE Inside,Juneau,111-40-070,Hilda Creek,Gastineau Channel,111-40-10690,58.22054151,-134.4958034,12030,17,1.26,0.61,,X,,,X
SSE,Ketchikan,103-90-065,Holbrook Inlet Head,Sea Otter Sound,103-90-10650,56.04756961,-133.4838791,5708,26,1.76,0.51,,,X,Same WShed as Holbrook Inlet W Side,X
SSE,Ketchikan,103-90-064,Holbrook Inlet W Side,Sea Otter Sound,103-90-10640,56.03799164,-133.4956609,5708,26,1.76,0.51,,,X,Same WShed as Holbrook Inlet Head,X
SSE,Petersburg,105-41-005,Hole-In-The-Wall SE,Port Protection/Hole In The Wall,105-41-10050,56.26667374,-133.6212804,6768,19,0.69,0.49,,,X,,X
NSE Inside,Juneau,114-25-010,Homeshore Creek,Homeshore,114-25-10100,58.31094457,-135.3733526,"11890, 11852",49,4.95,0.59,X,,X,Same WShed as East Homeshore Creek (11852) and Windy Creek (11890),X
NSE Inside,Juneau,112-72-012,Hood Bay N Arm E Head,N Arm Hood Bay,112-72-10120,57.39182742,-134.3234284,9710,172,11.1,0.48,,,X,"Same WShed as 1st NW of Weir Creek, Hood Bay S Arm Head, Hood Bay S Arm Head N, Narrows Creek, Weir Creek N Arm Hood Bay, Weir Creek S Arm Hood Bay",X
NSE Inside,Juneau,112-73-020,Hood Bay S Arm Head,S Arm Hood Bay,112-73-10200,57.3354799,-134.3230453,9710,172,11.1,0.48,,,X,"Same WShed as 1st NW of Weir Creek, Hood Bay N Arm E Head, Hood Bay S Arm Head N, Narrows Creek, Weir Creek N Arm Hood Bay, Weir Creek S Arm Hood Bay",X
NSE Inside,Juneau,112-73-017,Hood Bay S Arm Head N,S Arm Hood Bay,112-73-10170,57.34459214,-134.3243601,9710,172,11.1,0.48,,,X,"Same WShed as 1st NW of Weir Creek, Hood Bay N Arm E Head, Hood Bay S Arm Head, Narrows Creek, Weir Creek N Arm Hood Bay, Weir Creek S Arm Hood Bay",X
NSE Inside,Sitka,113-58-004,Hoonah Sound N Head,North Arm Hoonah Sound,113-58-10500-2001,57.77009009,-135.838288,10015,134,12.23,0.45,,,X,Same WShed as Granite Creek N Arm and Hoonah Sound N Arm West,X
NSE Inside,Sitka,113-57-009,Hoonah Sound S Arm Head,South Arm Hoonah Sound,113-57-10090,57.71161565,-135.755256,9974,28,2.1,0.49,,X,,,X
NSE Inside,Sitka,113-57-002,Hoonah Sound S Arm SW,South Arm Hoonah Sound,113-57-10020,57.64962645,-135.7011029,9880,34,2.85,0.48,,,X,Same WShed as Fick Cove Head,X
NSE Inside,Sitka,113-58-002,Hoonah Sound N Arm West,North Arm Hoonah Sound,113-58-10020,57.73537323,-135.7797141,10015,134,12.23,0.45,,,X,Same WShed as Granite Creek N Arm and Hoonah Sound N Head,X
NSE Inside,Juneau,112-61-008,Howard Bay NW Side,Howard Bay,112-61-10080,58.29798734,-135.0961115,11958,18,1.22,0.59,,,X,Same WShed as Howard Bay W Side,X
NSE Inside,Juneau,112-61-006,Howard Bay W Side,Howard Bay,112-61-10060,58.29182456,-135.1007225,11958,18,1.22,0.59,,,X,Same WShed as Howard Bay NW Side,X
SSE,Ketchikan,101-30-083,Humpback Creek,Boca De Quadra,101-30-10830,55.0321619,-130.6858007,4088,243,21.36,0.47,,X,,Same WShed as Mink Creek,X
NSE Inside,Juneau,114-34-010,Humpback Creek-Port Frederick,W Shore Port Frederick,114-34-10100,58.09384393,-135.5792629,"11010, 10981, 11318",121,12.17,0.56,X,X,,,X
NSE Inside,Juneau,114-50-025,Humpie Creek-Port Althorp,Port Althorp,114-50-10250,58.12194561,-136.3157982,"10768, 10734",51,3.49,0.5,X,,X,Same WShed as Althrop Creek (10734) and Magret Creek-Port Althorp (10768),X
SSE,Ketchikan,101-71-04H,Humpy Creek,Walker Cove/Chichamin,101-71-10040-2005,55.84875584,-130.8729344,7049,1709,184.19,0.6,,,X,"Same WShed as Choca Creek, Clear Creek, and King Creek",X
NSE Inside,Juneau,114-25-018,Humpy Creek-Homeshore,Homeshore,114-25-10180,58.27325996,-135.3419042,11758,24,2.29,0.57,,X,,,X
SSE,Ketchikan,103-11-017,Hunter Bay E Head,Lower Cordova Bay,103-11-10190,54.86855086,-132.292637,"2318, 2253",171,12.57,0.53,X,,X,,X
SSE,Ketchikan,103-40-041,Hydaburg River,Tlevak Strait,103-40-10410,55.20586982,-132.8270085,3183,23,1.79,0.51,,X,,,X
NSE Inside,Juneau,112-42-008,Indian River-Tenakee,Tenakee Springs,112-42-10080,57.7774635,-135.1818931,"10274, 10275",61,6.41,0.55,X,X,,,X
SSE,Ketchikan,103-80-056,Inside St Phillips S,St Phillips/Warmchuck,103-80-10560,55.63815389,-133.3948488,4348,12,0.72,0.53,,,X,Same WShed as S of Salt Lake Bay,X
NSE Inside,Juneau,112-13-006,Iyouktug Creek,False Bay,112-13-10060,57.97019405,-134.9358597,10932,79,7.39,0.54,,X,,,X
SSE,Ketchikan,103-70-005,James Creek,11-Mile,103-70-10050,55.61880535,-133.3760977,4180,16,0.91,0.55,,,X,Same WShed as Goodrow Creek,X
NSE Inside,Petersburg,109-42-005,Jenny Creek,Kake/Kadake Bay/Keku Strait,109-42-10050,56.93174098,-133.8717162,8968,30,1.46,0.55,,X,,,X
NSE Inside,Juneau,112-65-012,Jimmy Green Creek,Hawk Inlet,112-65-10120,58.17638912,-134.7567047,11722,75,5.94,0.55,,,X,"Same WShed as Fowler Creek-Young Bay, Hawk Inlet Head, and Hawk Inlet Head NW",X
NSE Inside,Juneau,112-67-040,Jims Creek,Kootznahoo Inlet,112-67-10350-2012,57.59077683,-134.3312201,10044,556,36.5,0.49,,,X,Same WShed as Hasselborg Creek,X
SSE,Petersburg,105-10-021,Joan Creek,Affleck Canal/Spanish Is/Louise Cove,105-10-10210,56.28525547,-134.0799751,6513,8,0.28,0.55,,X,,,X
SSE,Ketchikan,102-30-017,Johnson Cove Creek,Moira Sound,102-30-10170,54.97423358,-132.1097051,2698,15,1.15,0.53,,X,,,X
NSE Inside,Petersburg,110-23-008,Johnston Creek,Gambier Bay,110-23-10100,57.50763528,-134.1041033,10121,118,5.66,0.52,,X,,Same Wshed as 1st East of Bowman ,X
NSE Inside,Petersburg,109-63-005,Joyce Creek Malmesbury,Port Malmsbury,109-63-10050,56.32609491,-134.1678442,6603,14,0.27,0.55,,X,,,X
SSE,Petersburg,107-20-015,June Creek,Anan/Fools/Menefee/Deer Is/N Ernest Sd,107-20-10150,55.95908385,-132.0102729,6780,33,2.51,0.56,,X,,,X
NSE Inside,Petersburg,109-42-030,Kadake Creek,Kake/Kadake Bay/Keku Strait,109-42-10300,56.80056418,-133.9705963,8561,99,6.31,0.53,,X,,,X
NSE Inside,Juneau,112-42-025,Kadashan River,Tenakee Springs,112-42-10250,57.70235484,-135.2204374,10139,121,11,0.51,,,X,,X
SSE,Petersburg,106-42-010,Kah Sheets Creek,Kah Sheets/St Johns,106-42-10100,56.53032685,-133.1422908,"8182, 8477",213,14.2,0.62,X,,X,,X
NSE Inside,Juneau,114-23-022,Kahtaheena River,Point Adolphus Area,114-23-10220,58.41797519,-135.6101327,"12123, 12124",57,4.76,0.54,X,,X,Same 2nd WShed as East Kahtaheena River (12124),X
NSE Inside,Juneau,112-67-060,Kanalku Lake Creek,Kootznahoo Inlet,112-67-10600,57.49818199,-134.4101827,9981,83,5.26,0.51,,X,,,X
SSE,Petersburg,105-10-019,Kathleen Creek-Affleck Canal,Affleck Canal/Spanish Is/Louise Cove,105-10-10190,56.31583036,-134.0813429,6604,25,1.42,0.54,,,X,Same WShed as Affleck Canal NE,X
NSE Outside,Sitka,113-44-005,Katlian Bay S Fork,Katlian Bay,113-44-10050,57.16419393,-135.2860793,8984,38,3.35,0.43,,X,,,X
NSE Outside,Sitka,113-44-003,Katlian River,Katlian Bay,113-44-10030,57.16848597,-135.2865234,9009,118,12.17,0.51,,X,,,X
SSE,Ketchikan,102-30-067,Kegan Cove,Moira Sound,102-30-10670,55.0218718,-132.1717394,2794,39,2.01,0.51,,,X,Same WShed as Kugel Creek,X
SSE,Petersburg,105-10-032,Kell Bay Creek,Affleck Canal/Spanish Is/Louise Cove,105-10-10320,56.19281693,-134.1908611,5863,18,0.92,0.55,,X,,,X
SSE,Petersburg,105-10-028,Kell Slough Creek,Affleck Canal/Spanish Is/Louise Cove,105-10-10290,56.17259412,-134.1490276,5820,5,0.31,0.52,,X,,,X
NSE Inside,Sitka,112-21-008,Kelp Bay Middle Arm Head,Kelp Bay,112-21-10080,57.34076089,-135.0802724,9421,88,9.59,0.53,,X,,,X
NSE Inside,Sitka,112-21-009,Kelp Bay Portage Arm,Kelp Bay,112-21-10090,57.36763529,-134.9634167,9474,13,0.46,0.56,,,X,,X
NSE Inside,Juneau,112-50-020,Kennel Creek,Freshwater Bay,112-50-10250,57.89887,-135.15048,10617,65,6.55,0.53,,,X,,X
SSE,Ketchikan,101-30-030,Keta River,Boca De Quadra,101-30-10300,55.33601594,-130.4757393,4411,359,32.95,0.54,,X,,,X
SSE,Ketchikan,101-47-025,Ketchikan Creek,Tongass Narrows,101-47-10250,55.340823,-131.6417,4306,71,6.27,0.45,,X,,,X
NSE Outside,Sitka,113-73-012,Khaz Creek,Slocum Arm,113-73-10120,57.49651164,-135.925561,9470,143,11.18,0.41,,,X,Same WShed as Slocum Arm Head and Waterfall Cove Creek,X
SSE,Petersburg,105-20-002,Kim Creek,Port Beauclerc,105-20-10020,56.3049627,-133.8946133,"6765, 6733",13,0.78,0.57,X,X,,,X
SSE,Ketchikan,102-60-068,Kina Creek,Kasaan Bay,102-60-10680,55.48799136,-132.5241606,4437,21,1.8,0.53,,,X,,X
SSE,Ketchikan,101-71-04K,King Creek,Walker Cove/Chichamin,101-71-10040-2006,55.84035252,-130.8521086,7049,1709,184.19,0.6,,,X,"Same WShed as Choca Creek, Clear Creek, and Humpy Creek",X
SSE,Petersburg,108-20-001,King George Creek,Meter Bight/King George,108-20-10010,56.30831817,-132.5313642,7813,24,2.03,0.52,,X,,,X
NSE Inside,Juneau,111-17-010,King Salmon River,Seymour Head,111-17-10100,58.04200257,-134.3414478,11482,97,7.64,0.55,,X,,,X
SSE,Ketchikan,102-40-017,Kitkun Bay,Cholmondeley Sound,102-40-10170,55.16182181,-132.1583116,3494,77,5.7,0.51,,,X,Same WShed as Aiken Cove and Miller Lake Creek,X
SSE,Ketchikan,102-40-013,Kitkun Bay NE Side,Cholmondeley Sound,102-40-10130,55.19376892,-132.1011184,3557,7,0.44,0.5,,X,,,X
NSE Outside,Sitka,113-41-042,Kizhuchia Creek,Sitka Sound,113-41-10420,56.93657258,-135.3542138,8268,25,1.76,0.47,,X,,,X
SSE,Ketchikan,101-75-050,Klahini River,Back Behm Canal,101-75-10500,56.04439314,-131.0962547,7852,151,15.39,0.64,,X,,,X
SSE,Ketchikan,103-15-019,Klakas Head,Klakas Inlet,103-15-10170,55.08243162,-132.4008837,2582,103,8.38,0.49,,,X,"Same WShed as Klakas Inlet W Side, Klakas Inlet W Side N, Klakas Lake Creek, Klakas Left Head, and Klakas Right Head",X
